AFC EAST
1,Lions,12,1,0,0.923,417,234,183,6-1-0,6-0-0,4-0-0,8-1-0,11W,5-0-0
2,Eagles,10,2,0,0.833,320,218,102,4-1-0,6-1-0,3-0-0,6-2-0,8W,5-0-0
3,Seahawks,7,5,0,0.583,272,265,7,3-4-0,4-1-0,2-2-0,3-4-0,3W,3-2-0
4,Falcons,6,6,0,0.500,257,291,-34,3-4-0,3-2-0,4-1-0,6-2-0,3L,2-3-0
5,Vikings,10,2,0,0.833,297,219,78,5-1-0,5-1-0,2-1-0,5-2-0,5W,5-0-0
6,Packers,9,4,0,0.692,349,274,75,5-2-0,4-2-0,1-3-0,4-4-0,1L,3-2-0
7,Commanders,8,5,0,0.615,376,296,80,5-2-0,3-3-0,2-2-0,5-3-0,1W,2-3-0
8,Buccaneers,6,6,0,0.500,335,296,39,2-4-0,4-2-0,2-2-0,6-3-0,2W,2-3-0
9,Cardinals,6,6,0,0.500,266,259,7,4-2-0,2-4-0,2-1-0,3-5-0,2L,3-2-0
10,Rams,6,6,0,0.500,254,290,-36,3-3-0,3-3-0,2-1-0,4-5-0,1W,3-2-0
11,49ers,5,7,0,0.417,270,295,-25,3-3-0,2-4-0,1-3-0,3-5-0,3L,2-3-0
12,Cowboys,5,7,0,0.417,248,339,-91,1-5-0,4-2-0,3-1-0,3-5-0,2W,2-3-0
13,Saints,4,8,0,0.333,276,281,-5,3-4-0,1-4-0,2-3-0,3-5-0,1L,2-3-0
14,Bears,4,8,0,0.333,241,240,1,4-3-0,0-5-0,0-3-0,2-5-0,6L,0-5-0
15,Panthers,3,9,0,0.250,217,366,-149,2-5-0,1-4-0,1-3-0,2-5-0,2L,2-3-0
16,Giants,2,10,0,0.167,183,279,-96,0-6-0,2-4-0,0-5-0,1-8-0,7L,0-5-0

All
1,Lions,12,1,0,0.923,417,234,183,6-1-0,6-0-0,4-0-0,8-1-0,11W,5-0-0
2,Chiefs,11,1,0,0.917,289,235,54,6-0-0,5-1-0,4-0-0,6-1-0,2W,4-1-0
3,Bills,10,2,0,0.833,355,224,131,6-0-0,4-2-0,3-0-0,7-2-0,7W,5-0-0
4,Vikings,10,2,0,0.833,297,219,78,5-1-0,5-1-0,2-1-0,5-2-0,5W,5-0-0
5,Eagles,10,2,0,0.833,320,218,102,4-1-0,6-1-0,3-0-0,6-2-0,8W,5-0-0
6,Steelers,9,3,0,0.750,296,224,72,4-1-0,5-2-0,2-1-0,6-2-0,1W,4-1-0
7,Packers,9,4,0,0.692,349,274,75,5-2-0,4-2-0,1-3-0,4-4-0,1L,3-2-0
8,Chargers,8,4,0,0.667,260,188,72,4-2-0,4-2-0,2-1-0,5-3-0,1W,4-1-0
9,Ravens,8,5,0,0.615,383,318,65,4-2-0,4-3-0,2-2-0,5-4-0,1L,3-2-0
10,Broncos,8,5,0,0.615,305,234,71,4-2-0,4-3-0,2-2-0,4-4-0,3W,3-2-0
11,Texans,8,5,0,0.615,308,288,20,4-2-0,4-3-0,4-1-0,6-2-0,1W,2-3-0
12,Commanders,8,5,0,0.615,376,296,80,5-2-0,3-3-0,2-2-0,5-3-0,1W,2-3-0
13,Seahawks,7,5,0,0.583,272,265,7,3-4-0,4-1-0,2-2-0,3-4-0,3W,3-2-0
14,Cardinals,6,6,0,0.500,266,259,7,4-2-0,2-4-0,2-1-0,3-5-0,2L,3-2-0
15,Falcons,6,6,0,0.500,257,291,-34,3-4-0,3-2-0,4-1-0,6-2-0,3L,2-3-0
16,Rams,6,6,0,0.500,254,290,-36,3-3-0,3-3-0,2-1-0,4-5-0,1W,3-2-0
17,Buccaneers,6,6,0,0.500,335,296,39,2-4-0,4-2-0,2-2-0,6-3-0,2W,2-3-0
18,Colts,6,7,0,0.462,267,298,-31,3-3-0,3-4-0,1-3-0,5-4-0,1W,2-3-0
19,Cowboys,5,7,0,0.417,248,339,-91,1-5-0,4-2-0,3-1-0,3-5-0,2W,2-3-0
20,Dolphins,5,7,0,0.417,232,266,-34,3-3-0,2-4-0,2-2-0,4-4-0,1L,3-2-0
21,49ers,5,7,0,0.417,270,295,-25,3-3-0,2-4-0,1-3-0,3-5-0,3L,2-3-0
22,Bears,4,8,0,0.333,241,240,1,4-3-0,0-5-0,0-3-0,2-5-0,6L,0-5-0
23,Bengals,4,8,0,0.333,335,340,-5,1-5-0,3-3-0,1-3-0,2-6-0,3L,1-4-0
24,Saints,4,8,0,0.333,276,281,-5,3-4-0,1-4-0,2-3-0,3-5-0,1L,2-3-0
25,Panthers,3,9,0,0.250,217,366,-149,2-5-0,1-4-0,1-3-0,2-5-0,2L,2-3-0
26,Browns,3,9,0,0.250,218,308,-90,2-4-0,1-5-0,2-1-0,3-4-0,1L,2-3-0
27,Jets,3,9,0,0.250,225,268,-43,2-4-0,1-5-0,1-2-0,3-5-0,3L,1-4-0
28,Titans,3,9,0,0.250,221,332,-111,1-4-0,2-5-0,1-1-0,3-4-0,1L,2-3-0
29,Patriots,3,10,0,0.231,221,307,-86,1-5-0,2-5-0,1-3-0,2-7-0,3L,1-4-0
30,Jaguars,2,10,0,0.167,228,339,-111,2-4-0,0-6-0,1-2-0,2-5-0,5L,0-5-0
31,Raiders,2,10,0,0.167,223,333,-110,1-4-0,1-6-0,0-5-0,2-8-0,8L,0-5-0
32,Giants,2,10,0,0.167,183,279,-96,0-6-0,2-4-0,0-5-0,1-8-0,7L,0-5-0

